Entidad,2018,Población,Tasaaccidentes,Grupo,Total decesos,Total lesionados,Tasa decesos por accidente vial * 100000h,Tasa lesionados por accidente vial * 100000h,long,lat
Aguascalientes,3773,1066233,353.86,MEDIO,81,"1,421",7.6,133.27,21.77111,-102.35861
Baja California,16300,2856361,570.66,ALTO,65,"2,249",2.28,78.74,32.46763,-116.8036
Baja California Sur,3101,512030,605.63,ALTO,27,968,5.27,189.05,24.0725,-110.36222
Campeche,3403,755703,450.31,MEDIO,29,"1,122",3.84,148.47,19.48657,-90.37322
Chiapas,3306,4293414,77,BAJO,108,"4,388",4.32,175.42,16.71165,-93.11121
Chihuahua,25938,3241513,800.18,ALTO,25,"1,787",4.4,314.26,28.15096,-106.21278
Ciudad de México,11651,8737172,133.35,BAJO,89,986,2.07,22.97,19.39789,-99.18115
Coahuila de Zaragoza,13249,2501413,529.66,ALTO,294,"8,323",9.07,256.76,25.52742,-103.46273
Colima,4931,568642,867.15,ALTO,240,"2,637",2.75,30.18,19.14736,-103.72244
Durango,6147,1509025,407.35,MEDIO,114,"2,575",7.55,170.64,24.05718,-104.5332
Guanajuato,19290,4894608,394.11,MEDIO,215,"6,285",4.39,128.41,21.07784,-101.25289
Guerrero,4855,3115237,155.85,BAJO,62,"1,459",1.99,46.83,17.36164,-99.46573
Hidalgo,3172,2345514,135.24,BAJO,43,391,1.83,16.67,20.79916,-103.4714
Jalisco,24957,6754506,369.49,MEDIO,398,"6,185",5.89,91.57,20.67663,-103.34616
México,14060,14174039,99.2,BAJO,57,"2,002",0.4,14.12,19.38408,-99.02161
Michoacán de Ocampo,15029,3965878,378.96,MEDIO,200,"3,995",5.04,100.73,19.6995,-101.26428
Morelos,9260,1616209,572.95,ALTO,77,"2,600",4.76,160.87,18.94315,-99.30873
Nayarit,1513,952230,158.89,BAJO,47,663,4.94,69.63,21.69107,-105.08841
Nuevo León,80863,4199361,"1,925.60",ALTO,249,"6,379",5.93,151.9,25.67693,-100.3137
Oaxaca,3910,3508986,111.43,BAJO,46,"1,591",1.31,45.34,17.11867,-96.7607
Puebla,7577,5386250,140.67,BAJO,231,"1,693",4.29,31.43,18.95652,-98.18664
Querétaro,15185,1598179,950.14,ALTO,179,"1,507",11.2,94.29,20.72682,-100.45296
Quintana Roo,5055,1135436,445.2,MEDIO,70,"2,763",6.17,243.34,20.5061,-86.94434
San Luis Potosí,5045,2413811,209.01,BAJO,132,"1,227",5.47,50.83,22.24988,-101.23564
Sinaloa,8318,2611306,318.54,MEDIO,302,"5,856",11.57,224.26,24.59119,-107.39151
Sonora,15938,2395297,665.39,ALTO,235,"3,940",9.81,164.49,29.08919,-110.96133
Tabasco,2154,1991059,108.18,BAJO,42,798,2.11,40.08,17.84092,-92.61893
Tamaulipas,12684,3024417,419.39,MEDIO,169,"3,086",5.59,102.04,22.21505,-97.85292
Tlaxcala,3398,1068467,318.03,MEDIO,101,909,9.45,85.08,19.32226,-98.2301
Veracruz de Ignacio de la Llave,12398,7117300,174.2,BAJO,163,"4,807",2.29,67.54,19.50654,-96.87906
Yucatán,6247,1820537,343.14,MEDIO,40,"3,611",2.2,198.35,21.04023,-89.56206
Zacatecas,2460,1368391,179.77,BAJO,97,988,7.09,72.2,22.77093,-102.58325
