delegacion,ano,lesionados
alvaro Obregon,2016,7.2
alvaro Obregon,2017,7.71
alvaro Obregon,2018,7.62
alvaro Obregon,2019,7.57
Azcapotzalco,2016,4.48
Azcapotzalco,2017,4.24
Azcapotzalco,2018,4.33
Azcapotzalco,2019,4.22
Benito Juarez,2016,7.44
Benito Juarez,2017,7.49
Benito Juarez,2018,7.64
Benito Juarez,2019,7.92
Coyoacan,2016,8.3
Coyoacan,2017,7.92
Coyoacan,2018,7.95
Coyoacan,2019,7.98
Cuajimalpa,2016,1.74
Cuajimalpa,2017,2.05
Cuajimalpa,2018,2
Cuajimalpa,2019,1.95
Cuauhtemoc,2016,10.3
Cuauhtemoc,2017,9.88
Cuauhtemoc,2018,10
Cuauhtemoc,2019,9.93
Gustavo A. Madero,2016,10.3
Gustavo A. Madero,2017,10.7
Gustavo A. Madero,2018,10.1
Gustavo A. Madero,2019,9.91
Iztacalco,2016,4.36
Iztacalco,2017,3.99
Iztacalco,2018,3.98
Iztacalco,2019,4.37
Iztapalapa,2016,16
Iztapalapa,2017,16.5
Iztapalapa,2018,16.4
Iztapalapa,2019,15.8
Magdalena Contreras,2016,1.39
Magdalena Contreras,2017,1.41
Magdalena Contreras,2018,1.55
Magdalena Contreras,2019,1.5
Miguel Hidalgo,2016,8.92
Miguel Hidalgo,2017,8.57
Miguel Hidalgo,2018,8.38
Miguel Hidalgo,2019,8.12
Milpa Alta,2016,0.48
Milpa Alta,2017,0.5
Milpa Alta,2018,0.55
Milpa Alta,2019,0.52
Tlahuac,2016,2.42
Tlahuac,2017,2.52
Tlahuac,2018,2.45
Tlahuac,2019,2.52
Tlalpan,2016,5.88
Tlalpan,2017,6.06
Tlalpan,2018,6.1
Tlalpan,2019,7.07
Venustiano Carranza,2016,6.95
Venustiano Carranza,2017,6.49
Venustiano Carranza,2018,6.73
Venustiano Carranza,2019,6.69
Xochimilco,2016,3.64
Xochimilco,2017,3.82
Xochimilco,2018,3.95
Xochimilco,2019,3.83
